ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
1993;84.9;339.4;8;0.4;1968.4;1767.5;77.5;208.5;2557.9;1411.5;3153;1869.6;3081.4;479.6;517.4;809.9;1143.4;6774.9;57.4;364;548.4;24.4;6875.1;1911.3;170.7;2624;265.5
1994;84.8;284.4;14.9;1;1856;1557;72.8;154.2;2511.6;1529.2;3095.5;1829.5;3278.2;610.8;581.9;783.1;1242;6685.9;48.5;374.4;500.7;30.6;6531.9;1876.8;187.7;2548.4;267.1
1995;90;281.2;9.1;0.8;2063.3;1552.3;67.2;153.5;2265.7;1511.1;2749.9;1526.2;3021.1;557.9;588.5;762.3;1084.5;6876.1;43;358.2;515.4;32.4;6350.1;1842.1;183.2;2271.1;214.7
1996;70.1;305.4;12.4;0.8;2216.9;1177.4;72.6;115.5;2382;1422.8;2732.5;1584.4;3200.9;546.2;566.7;727.8;1024.9;6833.1;35.5;297.6;481.9;30.6;6237.7;1806.3;185.1;2289.9;217.8
1997;55.4;254.7;32.2;0.9;1996.7;1040.2;73.3;101.3;2579.3;950.5;2642.8;1730.5;3749.7;727.2;266.7;268.5;639.2;6929.2;30.8;155.5;358.9;30;6300.4;1419.3;169.1;2266.9;231.6
1998;59.5;249.5;33.7;2.4;2263.5;1275.4;79.9;94.8;2828.1;995.6;2652.5;1804.2;4123.5;815.1;278.6;511.4;658.9;7088.5;31.9;159.6;351.5;33.9;6371;1421.4;158.6;2295.5;257.7
1999;74.7;158.9;37.6;2.7;2372.6;1363.7;83.6;85.9;2889.8;1043.9;2555.2;1927.1;4439.6;813.6;356.2;612;717.9;7163.2;29.6;212.3;330.2;31.2;6440.7;1432.6;154.7;2238.9;255.9
2000;78;186.2;37;5.4;2366.7;1227.8;86.4;80.1;2938.2;1071.4;2489.4;1872.9;4656.1;666.7;248.7;554;715.4;7390.8;25.8;174.3;335.8;27;6545.8;1445.3;152.9;2201.3;267.9
2001;72.8;195;28.7;5.6;2519.6;1365.6;85.2;84.9;3209.9;1115.9;2530.1;1935.5;5451.6;619.1;360.2;575.4;748.7;7793.5;20.4;217.2;254.6;25.5;6904.9;1456.5;165.4;2172.7;320.5
2002;71.6;166.2;30.7;5.1;2724.8;1376;95.9;86.4;3505.1;1207.3;2801.4;2416.2;6225.4;666;397.1;610.3;768.2;8622.6;18.5;232.5;264;31.8;7317.8;1512.6;172.1;2233.4;387.8
2003;79.4;176.3;30.4;5.6;2829.3;1321.5;105.6;82.8;4017;1313.1;3100.7;2765.3;7538.4;678.2;442.5;600.9;857.3;8538.4;20.9;275;330.4;55.5;7668.3;1521.4;201.6;2360;506.7
2004;86.1;185.7;33.1;5.8;2956.2;1133.1;119.7;76.6;4015.5;1382.6;3200.9;2949;8564.2;722.4;421.1;575.5;934;8547.4;21;168.5;374.1;60;7761.6;1529.5;196.4;2391.8;656.4
2005;77;195.6;32.6;5.8;2795.5;1249.998;119.5;67.5;3752.003;1343.53;3113;2869.54;8066.653;641;409.9;629.3;942;8837;20.4;192.8;387.2;47.2;7610.7;1502.3;203.1;2232.6;523.9
2006;74.11;197.5;39.8;6.4;2813.1;1293.114;123.868;62.2;3577.6;1357;2950.1075;2815.2;7712.4;604.5;423.3;632.1;917.2;8611.3;20.1;190.2;360;41;7229.2;1457.6;204.4;1963.4;535.9
2007;43;183.9;23.2;8.2;2868.2;1359.6;126.7;60.6;3691.2;1352.8;2830.9;2928;8603.5;568.1;409.4;672.5;950.5;8485.4;16.1;180.9;397.4;44.6;7411.4;1439.5;211.6;1916.4;627.6
2008;43.4;161.3;20.9;8.8;2843;1362.5;113.5;61.7;3816.4;1349;2837.4;2888.4;8434.8;534.5;413.2;648.9;1016.1;8792.3;15.5;153;387.8;33;7578.9;1457.4;217.9;1905.7;579.1
2009;53.7;125.2;20.6;9.4;2917.2;1059.6;112.9;57.6;3899.4;1450.8;2834.9;2805.9;9118.6;480.7;146.6;557.2;1010.8;8737.6;13.8;79.3;416.4;27.4;7350.3;1413.6;232.6;1844.4;639.2
2010;65.9;122.6;23.2;8.9;3074.9;1434.1;120.5;54.6;4173.4;1583.5;2868.1;2965.4;9638.8;472.7;329.9;634.2;1146.2;8933.4;13.2;157.105;399.8;33.2;7437.2;1353.5;268.4;1861.4;698.5
2011;70.2;69;26.8;6.1;2758.8;1014.6;120.3;50.8;4483.2;1533.6;2979.7;3256.3;10969.1;507;79.4;442.1;1173.9;9169.4;11.4;17.3;411.1;33;7577.2;1303.2;243;1837;741.65
2012;71.6;79.5;21.5;5.7;2805.2;787.7;135;40.6;4604.4;1615.7;3068.1;3630.8;12310.3;506;109.8;275.9;1264.4;9449.2;10.3;29.07;421.4;41.5;8058.8;1303.4;244.4;1858.8;813.9
2013;64.3;81.2;19.7;5.5;3154.6;921.5;186.7;38.1;4763;1769.1;3244;3797;13323;515.1;155.3;482;1388.1;9643.6;8;69;421.9;39.5;8515.2;1326.5;266.5;1800.3;1061.3
2014;55.5;79.9;24.4;5;3136.7;907.7;142.4;32.5;5100.4;1728.7;3227.1;4043.7;13586.9;648.9;122.9;460.1;1410.6;9585.7;4.8;59.3;463.3;44.7;8454.8;1300.8;199;1840.9;1248
2015;52.4;61.6;11.4;4.6;2891.2;850.3;155.69;24.4;5213.9;1420.1;3304.5;4213.1;14001.5;730.8;173.1;388.1;1360;9686.4;4.3;56.6;474.1;39.9;8533;1279.9;195.9;1982.3;1226.9
2016;46.8;80.1;19.2;23.5;3013.8;932;161.7;24;5241.5;1565.3;3372.7;4441.3;15119.1;861.5;179.5;344.3;1476.8;9732.7;4.8;67.6;553;54.8;8606.9;1312.8;193;2084.5;1376.1
2017;44.1;67.2;14.3;24.7;3043.8;946.6;161.3;28.2;5306.6;1818.6;3347.2;4545.7;15343;893.5;220.6;461.8;1534.2;9564.8;2.5;88.7;563.6;67.3;8617.7;1273.5;153.4;2186;1402.9
2018;47.5;65.9;17.9;24.1;3104.8;872.6;161.7;26.3;5665;1572.5;3453.1;4871.2;16183.5;905.5;188.1;446.3;1499.6;9649.5;3;106.6;576.7;72.4;8702.8;1260.8;157.3;2174.2;1453.3
2019;47.5;78.2;18.7;24.4;3097.2;913.1;164.4;26;6074.3;1605.1;3492.8;5029.5;17212.4;963.4;212.9;465.2;1535.2;9807.2;2.7;118.3;602.5;76.6;9013.9;1287;162.5;2333.5;1560.1
